cam_sd,ForestType,Forest,Season,div_shan,ForestSimpson,ForestShannon,ForestSR,meanTreeDensity,meanTreeDominance,meanSeedlingSaplingDensity,meanSSDominance,MeanAllDensity,meanAllDominance,NumDeer,RoadDensity50,Aspect50,Slope50,P_Water50,P_Mixed50,P_Evergreen50,P_Deciduous50,P_Forest50,P_Development50,P_Agriculture50,P_Shrub50,P_Wetland50,P_Herb50,Elevation50,Cam_Model
C2-SD7,Pine,WHIP,Winter,NA,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,NA,1.504610742,0,2.8624053,0,0,81.362007,10.035842,91.397849,0.358423,0,3.046595,5.376344,0,273,Bushnell HD
C3-SD5,Deciduous,SH,Winter,0.693147181,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,1,0.727051544,NA,0,0,10.215054,51.971326,7.706093,69.892473,0,27.319355,0,1.433692,1.971326,235,Bushnell HD
C4-SD26,Pine,WF,Winter,0.661563238,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,5,0,45,2.02486825,0,14.695341,45.16129,34.767025,94.623656,0,0,0,5.376344,0,220,Bushnell HD
C6-SD2,Deciduous,DON,Winter,NA,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,NA,0,251.565048,2.263636112,0,1.075269,70.250896,27.060932,98.387097,0,0,1.612903,0,0,132,Browning 
C8-SD23,Pine,DEG,Winter,NA,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,NA,0,NA,0,0,13.261649,45.878136,27.419355,86.55914,0,0,4.121864,10.215054,0,237,Browning 
C9-SD25,Pine,WF,Winter,0.693147181,0.64,1.2,5.5,615,276722.182,9333.333333,48171.08736,9933.333333,32.48932693,1,0.939955613,6.34019089,6.457954884,0,7.706093,37.455197,48.566308,93.727598,0,0.716846,2.508961,0,3.405018,255,Bushnell HD
C10-SD10,Deciduous,SH,Winter,NA,0.76,1.71,8.3,551.25,214605.9248,7000,32724.92347,7550,24.73308483,NA,0.456875405,154.983109,22.48092842,0,4.121864,2.508961,92.65233,99.283155,0,0,0,1.25448,0,270,Bushnell HD
C11-SD13,Deciduous,BC,Winter,1.113545986,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,7,0,135,1.012750387,7.168459,0.896057,24.014337,60.573477,85.483871,0,0,3.942652,1.612903,2.688172,128,Bushnell HD
C14-SD22,Deciduous,DON,Winter,0.804507271,0.76,1.63,7.3,665.2777778,260941.2749,3000,4450.589593,3633.333333,26.53918644,22,0.19934951,325.30484,11.179986,0,11.290323,32.795699,48.924731,93.010753,0.179211,0,0,7.168459,0,219,Bushnell HD
C15-SD14,Pine,DEG,Winter,0.135793959,0.34,0.61,3,346.875,352926.4533,1888.888889,3577.924967,2238.888889,35.65043782,64,0,251.565048,2.263636112,0,1.075269,70.250896,27.060932,98.387097,0,0,1.612903,0,0,132,Browning 
C17-SD24,Deciduous,BC,Winter,0.822541605,0.61,1.07,4.5,737.5,191816.2227,32333.33333,72518.43042,33070.83333,26.43346531,45,0.445029083,NA,0,3.763441,1.792115,40.681004,46.057348,88.530467,0,0,1.612903,6.989247,0,262,Browning 
C18-SD16,Pine,WHIP,Winter,0.981941601,0.66,1.45,8.5,815,489700.1727,37166.66667,35473.81705,37979.16667,52.51739898,13,0,26.5650501,3.199601412,0,3.584229,35.483871,56.810036,95.878136,4.659498,0,0,0,0,206,Browning 
